id,name,date,tagline,description,minute,rating
1000809,The King's Speech,2010,Find your voice.,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",118,3.78
1000810,Aladdin,2019,Choose Wisely.,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,127,2.95
1000811,Clue,1985,"Seven Suspects, Six Weapons, Five Bodies and Three Endings.","Clue finds six colorful dinner guests gathered at the mansion of their host, Mr. Boddy -- who turns up dead after his secret is exposed: He was blackmailing all of them. With the killer among them, the guests and Boddy's chatty butler must suss out the culprit before the body count rises.",94,3.85
1000812,Ralph Breaks the Internet,2018,Who broke the internet?,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",112,2.91
1000813,Collateral,2004,It started like any other night.,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,120,3.85
1000814,Scream 3,2000,Someone has taken their love of trilogies one step too far.,"As bodies begin dropping around the set of ‘Stab 3’ — a movie sequel based on the gruesome Woodsboro killings — Sidney, Gale and Dewey are once again drawn into a game of horror movie mayhem.",117,2.82
1000815,Mission: Impossible – Rogue Nation,2015,Desperate Times. Desperate Measures.,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organisation committed to destroying the IMF.",131,3.71
1000816,Looper,2012,"Hunted By Your Future, Haunted By Your Past","In the futuristic action thriller Looper, time travel will be invented but it will be illegal and only available on the black market. When the mob wants to get rid of someone, they will send their target 30 years into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.",118,3.56
1000817,Gangs of New York,2002,America was born in the streets.,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",168,3.7
1000818,Mommy,2014,Loving people doesn't save them,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",138,4.31
1000819,Nausicaä of the Valley of the Wind,1984,A young girl's love called forth miracles…,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",117,4.15
1000820,The Birds,1963,"...and remember, the next scream you hear may be your own!","Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.",120,3.76
1000821,Kingdom of the Planet of the Apes,2024,No one can stop the reign.,"Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike.",145,3.4
1000822,Fear and Loathing in Las Vegas,1998,"Buy the ticket, take the ride","Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",118,3.77
1000823,Hocus Pocus,1993,It's just a bunch of Hocus Pocus.,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it is up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",96,3.44
1000824,Sinister,2012,"Once you see him, nothing can save you.","Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity.",110,3.32
1000825,Bee Movie,2007,Born to bee wild.,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",91,2.89
1000826,Unbreakable,2000,Some things are only revealed by accident,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",106,3.68
1000827,Friday the 13th,1980,"They were warned...They are doomed...And on Friday the 13th, nothing will save them.",Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,95,3.0
1000828,Cloudy with a Chance of Meatballs,2009,Prepare to get served.,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",90,3.35
1000829,Ghost in the Shell,1995,It found a voice... Now it needs a body.,"In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster.",82,4.08
1000830,Interview with the Vampire,1994,Drink from me and live forever,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",123,3.58
1000831,The Apartment,1960,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!","Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",125,4.43
1000832,Bram Stoker's Dracula,1992,The blood is life.,"When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker, the reincarnation of Dracula's long-dead wife Elisabeta, obsessed vampire hunter Dr. Van Helsing sets out to end the madness.",127,3.67
1000833,Twelve Monkeys,1995,The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",129,3.86
1000834,Argo,2012,The movie was fake. The mission was real.,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",120,3.71
1000835,Pig,2021,We don't get a lot of things to really care about.,A truffle hunter who lives alone in the Oregonian wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.,92,3.76
1000836,Hugo,2011,One of the most legendary directors of our time takes you on an extraordinary adventure.,"Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.",126,3.5
1000837,First Reformed,2017,,A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,113,4.04
1000838,Borat Subsequent Moviefilm,2020,Delivery of prodigious bribe to American regime for make benefit once glorious nation of Kazakhstan.,"14 years after making a film about his journey across the USA, Borat risks life and limb when he returns to the United States with his young daughter, and reveals more about the culture, the COVID-19 pandemic, and the political elections.",96,3.28
1000839,Project X,2012,Witness it,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",88,3.2
1000840,The Elephant Man,1980,I am not an animal! I am a human being! I … am … a man!,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",124,4.23
1000841,Lawrence of Arabia,1962,A mighty motion picture of action and adventure!,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",228,4.36
1000842,Mission: Impossible – Ghost Protocol,2011,No Plan. No Backup. No Choice.,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",133,3.71
1000843,Rain Man,1988,A journey through understanding and fellowship.,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,134,3.87
1000844,"Love, Rosie",2014,Right Love. Wrong Time.,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?  Based on Cecelia Ahern's bestselling novel, LOVE, ROSIE is a heart-warming, modern comedy-of-errors posing the ultimate question: do we really only get one shot at true love?",102,3.61
1000845,Batman Returns,1992,"The Bat, the Cat, the Penguin.","Having defeated the Joker, Batman now faces the Penguin—a warped and deformed individual who is intent on being accepted into Gotham society, with the help of Max Schreck, a crooked businessman, whom he coerces into helping him run for the position of Mayor of Gotham, while they both attempt to frame Batman in a different light. Batman must attempt to clear his name, all while also deciding just what must be done with the mysterious Catwoman slinking about.",126,3.55
1000846,Happy Death Day,2017,Get up. Live your day. Get killed. Again.,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out.",97,3.01
1000847,Porco Rosso,1992,A Pig's Got to Fly,"Porco Rosso, known in Japan as Crimson Pig (Kurenai no Buta) is the sixth animated film by Hayao Miyazaki and released in 1992. You're introduced to an Italian World War I fighter ace, now living as a freelance bounty hunter chasing ""air pirates"" in the Adriatic Sea. He has been given a curse that changed his head to that of a pig. Once called Marco Pagot, he is now known to the world as ""Porco Rosso"", Italian for ""Red Pig.""",93,3.99
1000848,Saw X,2023,Witness the return of Jigsaw.,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",118,3.23
1000849,The Purge,2013,"One night a year, all crime is legal.","Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",86,2.7
1000850,The Last Duel,2021,The true story of a woman who defied a nation and made history.,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,153,3.73
1000851,Halloween,2018,Face your fate,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",106,3.21
1000852,Enchanted,2007,This fairytale princess is about to meet a real Prince Charming.,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",107,3.5
1000853,Whisper of the Heart,1995,I found someone I like.,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'.",111,4.16
1000854,Green Room,2015,One way in. No way out.,"A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw, the band themselves become targets of violence from a gang of white power skinheads, who want to eliminate all evidence of the crime.",95,3.65
1000855,8½,1963,A picture that goes beyond what men think about - because no man ever thought about it in quite this way!,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",139,4.3
1000856,Step Brothers,2008,They grow up so fast.,"Brennan Huff and Dale Doback might be grown men. But that doesn't stop them from living at home and turning into jealous, competitive stepbrothers when their single parents marry. Brennan's constant competition with Dale strains his mom's marriage to Dale's dad, leaving everyone to wonder whether they'll ever see eye to eye.",98,3.44
1000857,The Matrix Revolutions,2003,Everything that has a beginning has an end.,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,129,3.05
1000858,Waves,2019,Love is patient,A controlling father’s attempts to ensure that his two children succeed in high school backfire after his son experiences a career-ending sports injury. Their familial bonds are eventually placed under severe strain by an unexpected tragedy.,135,3.86
1000859,Grown Ups,2010,Boys will be boys. . . some longer than others.,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",102,2.98
1000860,The Conjuring: The Devil Made Me Do It,2021,The demonic case that shocked America.,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",111,2.73
1000861,300,2006,"Spartans, prepare for glory!","Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",116,3.35
1000862,Mandy,2018,,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.",122,3.61
1000863,American Hustle,2013,Everyone Hustles To Survive,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",138,3.32
1000864,Harakiri,1962,The world has never understood why the Japanese prefer death to dishonor! Winner of Prix Special du Jury at Cannes 1963 provides the answer!!,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",135,4.69
1000865,Monster,2023,"Are they the ones we dream of, or the ones we fail to see among us?","When her young son Minato starts to behave strangely, his mother feels that there is something wrong. Discovering that a teacher is responsible, she storms into the school demanding to know what's going on. But as the story unfolds through the eyes of mother, teacher and child, the truth gradually emerges.",125,4.3
1000866,Adaptation.,2002,"From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich.",A love-lorn script writer grows increasingly desperate in his quest to adapt the book 'The Orchid Thief'.,115,4.11
1000867,Sweeney Todd: The Demon Barber of Fleet Street,2007,Never Forget. Never Forgive.,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",116,3.5
1000868,Lightyear,2022,Infinity awaits.,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,105,2.85
1000869,Fear Street: 1978,2021,Find the truth.,"In 1978, two rival groups at Camp Nightwing must band together to solve a terrifying mystery when horrors from their towns' history come alive.",110,3.39
1000870,Braveheart,1995,Every man dies. Not every man truly lives.,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",177,3.87
1000871,Metropolis,1927,There can be no understanding between the hands and the brain unless the heart acts as mediator.,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",153,4.26
1000872,Hunt for the Wilderpeople,2016,Nature just got gangster,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",101,4.06
1000873,Don't Breathe,2016,"This house looked like an easy target, until they found out what was inside.",A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,89,3.33
1000874,Lost Highway,1997,,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",134,4.05
1000875,Death on the Nile,2022,Murder was just the beginning.,Belgian sleuth Hercule Poirot’s Egyptian vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple’s idyllic honeymoon is tragically cut short.,127,2.67
1000876,Godzilla,2014,"The world ends, Godzilla begins.","Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",123,3.05
1000877,8 Mile,2002,Every moment is another chance,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",111,3.57
1000878,The Skin I Live In,2011,,A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.,120,3.85
1000879,Anchorman: The Legend of Ron Burgundy,2004,They bring you the news so you don't have to get it yourself.,"It's the 1970s, and San Diego super-sexist anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",95,3.49
1000880,Despicable Me 2,2013,Back 2 Work,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,98,3.11
1000881,Yesterday,2019,Everyone in the world has forgotten The Beatles. Everyone except Jack…,"Jack Malik is a struggling singer-songwriter in an English seaside town whose dreams of fame are rapidly fading, despite the fierce devotion and support of his childhood best friend, Ellie. After a freak bus accident during a mysterious global blackout, Jack wakes up to discover that he's the only person on Earth who can remember The Beatles.",116,2.89
1000882,The Simpsons Movie,2007,See our family. And feel better about yours.,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",87,3.44
1000883,Theater Camp,2023,You only fit in by acting out.,"After the indomitable and beloved founder of a scrappy theater camp in upstate New York falls into a coma, the eccentric staff must band together with her clueless ""crypto-bro"" son to keep the thespian paradise afloat.",93,3.76
1000884,The Ballad of Buster Scruggs,2018,Stories live forever. People don't.,"Vignettes weaving together the stories of six individuals in the old West at the end of the Civil War. Following the tales of a sharp-shooting songster, a wannabe bank robber, two weary traveling performers, a lone gold prospector, a woman traveling the West to an uncertain future, and a motley crew of strangers undertaking a carriage ride.",132,3.65
1000885,Monster House,2006,The house is . . . alive!,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",91,3.36
1000886,Click,2006,What If You Had A Remote... That Controlled Your Universe?,"A harried workaholic, Michael Newman doesn't have time for his wife and children, not if he's to impress his ungrateful boss and earn a well-deserved promotion. So when he meets Morty, a loopy sales clerk, he gets the answer to his prayers: a magical remote that allows him to bypass life's little distractions with increasingly hysterical results.",107,2.83
1000887,The Neon Demon,2016,Beauty is vicious.,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",118,3.17
1000888,You Were Never Really Here,2017,Based on true events.,"A traumatised veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",89,3.7
1000889,Tarzan,1999,An immortal legend. As you've only imagined.,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",88,3.68
1000890,Training Day,2001,"The only thing more dangerous than the line being crossed, is the cop who will cross it.","On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",122,3.97
1000891,A Haunting in Venice,2023,Death was only the beginning.,"Celebrated sleuth Hercule Poirot, now retired and living in self-imposed exile in Venice, reluctantly attends a Halloween séance at a decaying, haunted palazzo. When one of the guests is murdered, the detective is thrust into a sinister world of shadows and secrets.",104,3.01
1000892,Y Tu Mamá También,2001,Life has its ways of teaching,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",106,4.19
1000893,Orphan,2009,Can you keep a secret?,"A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems.",122,3.27
1000894,Hellraiser,1987,He'll tear your soul apart.,An unfaithful wife encounters the zombie of her dead lover while the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.,94,3.53
1000895,First Man,2018,One giant leap into the unknown,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",141,3.67
1000896,Under the Silver Lake,2018,What are they hiding?,"Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.",139,3.48
1000897,X2,2003,The time has come for those who are different to stand united.,"Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses—Magneto and Mystique—to unhinge Stryker's scheme to exterminate all mutants.",133,3.42
1000898,Creed III,2023,You can't run from your past.,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien - a fighter who has nothing to lose.",116,3.46
1000899,The Others,2001,"Sooner or later she'll see them, then everything will be different.","Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",104,3.74
1000900,"Are You There God? It's Me, Margaret.",2023,Discovering who you are is a journey that lasts a lifetime.,"When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.",107,3.8
1000901,Closer,2004,"If you believe in love at first sight, you never stop looking.",Two couples disintegrate when they begin destructive adulterous affairs with each other.,104,3.4
1000902,The King,2019,All hail,"England, 15th century. Hal, a capricious prince who lives among the populace far from court, is forced by circumstances to reluctantly accept the throne and become Henry V.",140,3.38
1000903,Annie Hall,1977,A nervous romance.,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,93,4.04
1000904,20th Century Women,2016,,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",119,4.0
1000905,Morbius,2022,The line between hero and villain will be broken.,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",105,1.6
1000906,The Machinist,2004,A little guilt goes a long way...,"The Machinist is the story of Trevor Reznik, a lathe-operator who is dying of insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are compounded by fatigue. Trevor has lost the ability to sleep. This is no ordinary insomnia...",101,3.75
1000907,My Own Private Idaho,1991,"Wherever, whatever, have a nice day.","In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",104,3.87
1000908,The Godfather: Part III,1990,All the power on earth can't change destiny.,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",162,3.46
1000909,Pirates of the Caribbean: On Stranger Tides,2011,Live Forever Or Die Trying.,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",137,2.79
1000910,The SpongeBob SquarePants Movie,2004,Bigger. Better. More absorbent.,"There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.",87,3.86
1000911,Signs,2002,It’s not like they didn’t warn us.,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,106,3.46
1000912,Chicken Run,2000,This ain't no chick flick. It's poultry in motion.,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Ginger the chicken along with the help of Rocky the American rooster decide to rebel and lead their fellow chickens in a great escape from the murderous farmers Mr. and Mrs. Tweedy and their farm of doom.",84,3.59
1000913,Loving Vincent,2017,,"The film brings the paintings of Vincent van Gogh to life to tell his remarkable story. Every one of the 65,000 frames of the film is an oil-painting hand-painted by 125 professional oil-painters who travelled from all across the world to the Loving Vincent studios in Poland and Greece to be a part of the production. As remarkable as Vincent’s brilliant paintings are his passionate and ill-fated life and mysterious death.",95,3.96
1000914,The Adam Project,2022,Past meets future.,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",106,2.93
1000915,C'mon C'mon,2021,,Johnny and his young nephew forge a tenuous but transformational relationship when they embark on a cross-country trip to see life away from Los Angeles.,109,4.13
1000916,Zombieland: Double Tap,2019,,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",99,3.0
1000917,L.A. Confidential,1997,Everything is suspect... Everyone is for sale... And nothing is what it seems.,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,138,4.07
